title,tmdb_id,imdb_id,duration,genres,img,popularity,vote_average,vote_count,year_released
b'attack of the normans',b'6614',b'tt0056288',b'79',"b""['adventure']""",b'/vdrvotrrk1ywt08cm2wxrkia1ip.jpg',b'0.586',b'0.0',b'0',b'1962-10-19'
b'lars and the real girl',b'6615',b'tt0805564',b'106',"b""['comedy', 'drama', 'romance']""",b'/t8cjvsdvt5fy2amzrwl0l9ocvhg.jpg',b'6.705',b'7.1',b'732',b'2007-10-12'
b'avenger of the seven seas',b'6618',b'tt0054932',b'90',"b""['adventure', 'crime', 'drama']""",b'/8dfp9cktm8wwh9qihvuwucukeeg.jpg',b'0.56',b'6.0',b'1',b'1962-03-21'
b'death in venice',b'6619',b'tt0067445',b'130',"b""['drama']""",b'/uaco0ywhpvjppk3iglwmhsdtrrt.jpg',b'4.902',b'7.4',b'107',b'1971-03-01'
b'sabrina',b'6620',b'tt0047437',b'113',"b""['comedy', 'drama', 'romance']""",b'/9u6vzx8p632wakv92eyjsjihni.jpg',b'7.11',b'7.5',b'422',b'1954-09-28'
b'mord am meer',b'6624',b'tt0451129',b'90',"b""['thriller', 'tv movie', 'crime', 'drama']""",b'/xtxxvoyyndosh5nfudxy7jbqbjc.jpg',b'0.57',b'7.0',b'2',b'2005-03-14'
b'gegenschuss - aufbruch der filmemacher',b'6628',b'tt1158864',b'120',"b""['documentary']""",b'/qncwek81o3dqhxgjkja7eipkucn.jpg',b'0.329',b'7.0',b'2',b'2008-02-11'
b'sohn ohne heimat',b'6630',b'tt0048635',b'90',"b""['drama']""",b'/y7fk2mygczkl2duqttx9ragqftn.jpg',b'0.039',b'5.0',b'1',b'1955-10-26'
b'zwei bayern im harem',b'6635',b'tt0140711',b'82',"b""['comedy']""",b'/u1qwmmhlpkdfcas46tlevimfyh8.jpg',b'0.862',b'4.0',b'1',b'1957-09-25'
b'the mugger',b'6636',b'tt1006823',b'67',"b""['drama']""",b'/agbhcmuokh2ew2tyut90coivokn.jpg',b'0.145',b'5.1',b'4',b'2007-04-01'
b'love in the time of cholera',b'6639',b'tt0484740',b'139',"b""['drama', 'romance']""",b'/4qsonbiyuubmzmnrcxwsmyij0on.jpg',b'6.196',b'6.5',b'115',b'2007-10-04'
b'love and other disasters',b'6641',b'tt0452643',b'91',"b""['comedy', 'romance']""",b'/hvwocebxechwta7bhlzba0mb0kk.jpg',b'6.489',b'5.9',b'141',b'2006-09-09'
b'the unforgiven',b'6643',b'tt0054428',b'125',"b""['romance', 'western', 'drama']""",b'/lkbpxsxejhdtumangov7k4nvcwo.jpg',b'3.946',b'6.2',b'49',b'1960-01-01'
b'el dorado',b'6644',b'tt0061619',b'120',"b""['western']""",b'/63p90iio7kke7ucxvkexfimc1ql.jpg',b'9.984',b'7.4',b'134',b'1966-12-17'
"b'eine frau, die wei\xc3\x9f was sie will'",b'6645',b'tt0050411',b'101',"b""['romance', 'comedy', 'drama']""",b'none',b'0.001',b'0.0',b'0',b'1958-02-25'
b'bottoms up',b'6658',b'tt0071171',b'81',"b""['comedy']""",b'/mqbpel6n7ml6bjhdmlhn3won7lk.jpg',b'1.564',b'2.8',b'2',b'1974-10-01'
"b'auf wiedersehen, franziska!'",b'6663',b'tt0050148',b'105',"b""['romance', 'drama']""",b'/cwvjze6copsnbx9hlj9teifbpcv.jpg',b'0.143',b'6.0',b'1',b'1957-09-05'
b'transsiberian',b'6687',b'tt0800241',b'111',"b""['thriller', 'crime', 'mystery']""",b'/izydkkxj9si8knkk0pr54dpuifu.jpg',b'6.956',b'6.5',b'261',b'2008-01-18'
b'trees are blooming in vienna',b'6689',b'tt0051765',b'95',"b""['romance', 'comedy', 'drama']""",b'/hkmdx2dguhivgfm2vmdwfrzcmgr.jpg',b'0.088',b'6.0',b'1',b'1958-07-31'
b'to take a wife',b'6690',b'tt0426279',b'97',"b""['drama', 'romance']""",b'/xqvz0xlixwgihybhcctvakfza6g.jpg',b'0.821',b'3.5',b'3',b'2004-06-01'
b'der schandfleck',b'6692',b'tt0049720',b'99',"b""['romance', 'drama']""",b'/rpc3qgfy7ej4gkp2jhsqsycq4qg.jpg',b'0.04',b'6.5',b'1',b'1956-12-14'
b'die winzerin von langenlois',b'6695',b'tt0051199',b'82',"b""['comedy']""",b'/kprl5tvjxpbparcsabh6vfncihv.jpg',b'0.204',b'5.0',b'1',b'1957-03-28'
b'uforia',b'6696',b'tt0081674',b'93',"b""['comedy', 'science fiction']""",b'/2zc7hoomnvqzkw4ekdsoaqojbht.jpg',b'0.403',b'6.0',b'2',b'1985-10-01'
